0,2230019821,Thu Jun 18 16:31:44 PDT 2009,NO_QUERY,nenalopes,"@gfalcone601 gio, i think marvin is the cuttest cat in the world! i had a orange cat like marvin, but he fled last week..  xxx"
0,1695191663,Mon May 04 05:28:34 PDT 2009,NO_QUERY,lalaland12202,She's so upsetimg me uh I'm on the bus on the way to the field trip 
0,2238050487,Fri Jun 19 06:45:04 PDT 2009,NO_QUERY,stefaniejbaum,"@TommySutch they also don't tip well those golf folks, and ill be serving them ALL day at Croxley's "
0,1975222812,Sat May 30 14:42:19 PDT 2009,NO_QUERY,PSLoveSPikE,I feel down    &lt;_-*Mary Oh So Poppingsz*-_&gt; I know you JELLY of me !!!
0,2186672600,Mon Jun 15 19:10:16 PDT 2009,NO_QUERY,AdrienneNycole,@lilmizsunshyne GiRLLL ! sooo much funny stuff on there! but it was causing WAYYY too much drama for me. i had to let it go 
0,2063792708,Sun Jun 07 04:05:40 PDT 2009,NO_QUERY,mintbird,sister's lamb died of indigestion. how sad. animals keel over from the most basic things 
0,2323058233,Wed Jun 24 23:49:25 PDT 2009,NO_QUERY,grantbeattie,"@LucasRegester haha nice, i had no room in my bag to get one earlier today "
0,2002656460,Tue Jun 02 04:49:30 PDT 2009,NO_QUERY,emilyosment_,http://twitpic.com/6gjjq - me &amp; miley on the last monday on season 3 of hannah montana 
0,2262941138,Sat Jun 20 23:34:43 PDT 2009,NO_QUERY,bahnree,"@Shunkleburger: Sorry, can't.  Parents would frown as we're supposed to get up early for Father's Day stuff tomorrow."
0,1981087452,Sun May 31 08:23:14 PDT 2009,NO_QUERY,kokokrunch76,Nothing exciting (to me) happened today 
4,2064853265,Sun Jun 07 07:19:46 PDT 2009,NO_QUERY,ComfyPaws,".@AdorableDiapers funny, I had a Ridgeback named Sweet Baby James  great dogs!"
4,2064505612,Sun Jun 07 06:27:11 PDT 2009,NO_QUERY,hknshn,I just setup My Twi page 
4,1678606362,Sat May 02 07:13:16 PDT 2009,NO_QUERY,hollaglam,"@ddlovato you're so lucky to meet her,Demi!,she's so beautiful "
4,2005903433,Tue Jun 02 10:21:21 PDT 2009,NO_QUERY,AndeeD,@riggledo I do kick him (husband) once in a while 
4,1795223637,Thu May 14 07:23:12 PDT 2009,NO_QUERY,mbranesf,What time is it anyway!? @derekjgoodman is awake now?  Did the whole day get away from me and I didn't notice?  
4,1754762537,Sun May 10 07:18:35 PDT 2009,NO_QUERY,Riaz_Ahmed_,"Really happy that jenson button, a BRIT, won the spanish f1 grand prix  #f1 #button"
4,1759772181,Sun May 10 19:56:34 PDT 2009,NO_QUERY,cruisepilot,Another great offer to update you with while it's still hot. Save up to 38% on Xmas and NY Med cruises from only $1590pp if you book now 
4,1999353799,Mon Jun 01 20:04:25 PDT 2009,NO_QUERY,chisaikame,@Gen215 pls do not hesitate to link us to a picture of you in a piglet costume. 
4,1694053854,Mon May 04 00:52:44 PDT 2009,NO_QUERY,Lia_arch_angel,"i'm gonna eat some chips??!! anybody, want some??? hahaha! "
4,2062434131,Sat Jun 06 23:13:16 PDT 2009,NO_QUERY,DangerShoes,"@feliciaday You saw Up  ... lol, that sounds like bad grammar, but you know the movie.. Hope ya have a great tomorrow.. I'm crashing"
